model,analysis,horizon,horizon_t,fold,p_value,metric_value,method
MMP,MACE,3yr,1095.75,4,,0.0881870610534279,original
MMP,MACE,5yr,1826.25,0,,0.1575216544933327,original
MMP,MACE,5yr,1826.25,1,,0.1511591129029443,original
MMP,MACE,5yr,1826.25,2,,0.12638843649169032,original
MMP,MACE,5yr,1826.25,3,,0.22277321621887206,original
MMP,MACE,5yr,1826.25,4,,0.1721342945040042,original
MMP,MACE,median,1321.4,0,,0.09796490370826948,original
MMP,MACE,median,1321.4,1,,0.08950741373390743,original
MMP,MACE,median,1321.4,2,,0.0796617150923694,original
MMP,MACE,median,1321.4,3,,0.14289491882155483,original
MMP,MACE,median,1321.4,4,,0.09921780686571659,original
MMP,n_eff,1yr,365.25,0,,173.89753936970027,"n_total=174,n_evt=1,n_risk=156,wt_cv=0.024"
MMP,n_eff,1yr,365.25,1,,149.92015062760694,"n_total=150,n_evt=4,n_risk=132,wt_cv=0.023"
MMP,n_eff,1yr,365.25,2,,179.9141502700757,"n_total=180,n_evt=3,n_risk=157,wt_cv=0.022"
MMP,n_eff,1yr,365.25,3,,164.8939201553346,"n_total=165,n_evt=3,n_risk=139,wt_cv=0.025"
MMP,n_eff,1yr,365.25,4,,168.97972342459474,"n_total=169,n_evt=3,n_risk=151,wt_cv=0.011"
MMP,n_eff,3yr,1095.75,0,,162.9718494614924,"n_total=174,n_evt=6,n_risk=72,wt_cv=0.260"
MMP,n_eff,3yr,1095.75,1,,141.7358371008284,"n_total=150,n_evt=10,n_risk=55,wt_cv=0.241"
MMP,n_eff,3yr,1095.75,2,,169.19398734498918,"n_total=180,n_evt=10,n_risk=82,wt_cv=0.253"
MMP,n_eff,3yr,1095.75,3,,153.3666950064118,"n_total=165,n_evt=6,n_risk=70,wt_cv=0.275"
MMP,n_eff,3yr,1095.75,4,,156.41444961469534,"n_total=169,n_evt=11,n_risk=80,wt_cv=0.284"
MMP,n_eff,5yr,1826.25,0,,146.14431503356627,"n_total=174,n_evt=7,n_risk=44,wt_cv=0.437"
MMP,n_eff,5yr,1826.25,1,,127.58677433442888,"n_total=150,n_evt=12,n_risk=32,wt_cv=0.419"
MMP,n_eff,5yr,1826.25,2,,153.10499376254015,"n_total=180,n_evt=22,n_risk=45,wt_cv=0.419"
MMP,n_eff,5yr,1826.25,3,,137.82392735194185,"n_total=165,n_evt=9,n_risk=40,wt_cv=0.444"
MMP,n_eff,5yr,1826.25,4,,139.7939548313914,"n_total=169,n_evt=13,n_risk=52,wt_cv=0.457"
MMP,n_eff,median,1321.4,0,,157.9929984187709,"n_total=174,n_evt=6,n_risk=56,wt_cv=0.318"
MMP,n_eff,median,1321.4,1,,136.6087841872341,"n_total=150,n_evt=10,n_risk=49,wt_cv=0.313"
MMP,n_eff,median,1321.4,2,,163.99275213400267,"n_total=180,n_evt=13,n_risk=68,wt_cv=0.312"
MMP,n_eff,median,1321.4,3,,147.68224525264486,"n_total=165,n_evt=8,n_risk=58,wt_cv=0.342"
MMP,n_eff,median,1321.4,4,,150.8707028864197,"n_total=169,n_evt=11,n_risk=69,wt_cv=0.347"
MMP,platt_transfer,1yr,365.25,0,0.00669780947909937,,platt_fit_at_median(1321.4)
MMP,platt_transfer,1yr,365.25,1,0.13261606385464897,,platt_fit_at_median(1321.4)
MMP,platt_transfer,1yr,365.25,2,0.027143924368762895,,platt_fit_at_median(1321.4)
MMP,platt_transfer,1yr,365.25,3,0.04514072091432064,,platt_fit_at_median(1321.4)
MMP,platt_transfer,1yr,365.25,4,0.01936721893407478,,platt_fit_at_median(1321.4)
MMP,platt_transfer,3yr,1095.75,0,0.040416221132130614,,platt_fit_at_median(1321.4)
MMP,platt_transfer,3yr,1095.75,1,0.6134248538907484,,platt_fit_at_median(1321.4)
MMP,platt_transfer,3yr,1095.75,2,0.011109290477905098,,platt_fit_at_median(1321.4)
MMP,platt_transfer,3yr,1095.75,3,0.03822934868305072,,platt_fit_at_median(1321.4)
MMP,platt_transfer,3yr,1095.75,4,0.0769912711497065,,platt_fit_at_median(1321.4)
MMP,platt_transfer,5yr,1826.25,0,0.030830567080172178,,platt_fit_at_median(1321.4)
MMP,platt_transfer,5yr,1826.25,1,0.0481780963544024,,platt_fit_at_median(1321.4)
MMP,platt_transfer,5yr,1826.25,2,2.665938096946263e-07,,platt_fit_at_median(1321.4)
MMP,platt_transfer,5yr,1826.25,3,0.001283781428765729,,platt_fit_at_median(1321.4)
MMP,platt_transfer,5yr,1826.25,4,0.004430576459227398,,platt_fit_at_median(1321.4)
MMP,platt_transfer,median,1321.4,0,0.03335220586385634,,platt_fit_at_median(1321.4)
MMP,platt_transfer,median,1321.4,1,0.6018616892015979,,platt_fit_at_median(1321.4)
MMP,platt_transfer,median,1321.4,2,0.0040330447634272515,,platt_fit_at_median(1321.4)
MMP,platt_transfer,median,1321.4,3,0.002217794752155,,platt_fit_at_median(1321.4)
MMP,platt_transfer,median,1321.4,4,0.08434184634420283,,platt_fit_at_median(1321.4)
