mean_predicted,km_observed,ci_lower,ci_upper,n_patients,model,cancer,fold
0.929952836956921,1.0,1.0,1.0,20,MCAT,BRCA,4
0.9299743589272857,1.0,1.0,1.0,20,MCAT,BRCA,4
0.7238495696570891,0.9090909090909092,0.5080802057699292,0.9866738226678231,18,MMP,BRCA,0
0.8261589595120479,1.0,1.0,1.0,17,MMP,BRCA,0
0.8799441670979223,0.7875000000000001,0.38088152320549645,0.9425909522237037,17,MMP,BRCA,0
0.903893721400095,0.9285714285714287,0.5907668674267574,0.98961982313685,18,MMP,BRCA,0
0.9206760642698687,1.0,1.0,1.0,17,MMP,BRCA,0
0.9354960623869635,1.0,0.4329650902258062,0.9835640285255789,17,MMP,BRCA,0
0.9481288529965484,0.9375000000000001,0.6323454417389031,0.9909531417446664,18,MMP,BRCA,0
0.9601745527476221,1.0,1.0,1.0,17,MMP,BRCA,0
0.9681898193339076,1.0,1.0,1.0,17,MMP,BRCA,0
0.9742482720418413,1.0,1.0,1.0,18,MMP,BRCA,0
0.7648034007301876,0.8484848484848484,0.5122402080231339,0.9604490698418037,15,MMP,BRCA,1
0.883800087688295,0.9333333333333331,0.6126412437748727,0.9903322366500168,15,MMP,BRCA,1
0.9061738819587802,1.0,1.0,1.0,15,MMP,BRCA,1
0.9365881548327337,1.0,1.0,1.0,15,MMP,BRCA,1
0.9551011721790921,0.9,0.47300927136205023,0.9852813933673431,15,MMP,BRCA,1
0.9639481794922825,0.8750000000000001,0.38700001403202483,0.9813929658789661,15,MMP,BRCA,1
0.9678033630112686,0.8571428571428573,0.5394481776231688,0.9622318564063292,15,MMP,BRCA,1
0.9710608261583784,1.0,1.0,1.0,15,MMP,BRCA,1
0.9727298938573308,1.0,1.0,1.0,15,MMP,BRCA,1
0.9734072291479742,0.9,0.47300927136205023,0.9852813933673431,15,MMP,BRCA,1
0.585364284674218,0.6685714285714286,0.32204263345760176,0.8667026250324945,18,MMP,BRCA,2
0.7922927513362649,0.7734375000000001,0.44305724276039876,0.9221207392176091,18,MMP,BRCA,2
0.8534914765637421,0.7291666666666667,0.2763902203361229,0.9253531812572053,18,MMP,BRCA,2
0.8916383073029114,0.6512059369202228,0.2147597039213165,0.7843549127426087,18,MMP,BRCA,2
0.9068621481213727,1.0,1.0,1.0,18,MMP,BRCA,2
0.914199205482162,0.8571428571428572,0.3340538792922218,0.9785610585261756,18,MMP,BRCA,2
0.9203032572859685,0.8585858585858589,0.43769171063194967,0.9226956731891617,18,MMP,BRCA,2
0.9257249559151115,1.0,1.0,1.0,18,MMP,BRCA,2
0.9299016637485514,1.0,1.0,1.0,18,MMP,BRCA,2
0.9346441295493675,1.0,1.0,1.0,18,MMP,BRCA,2
0.4907852701527678,0.9333333333333331,0.6126412437748727,0.9903322366500168,17,MMP,BRCA,3
0.7093638308523439,0.8333333333333333,0.27312284992835606,0.9747124266908934,16,MMP,BRCA,3
0.828611599253886,0.8750000000000001,0.38700001403202483,0.9813929658789661,17,MMP,BRCA,3
0.8779639201146492,1.0,1.0,1.0,16,MMP,BRCA,3
0.9039280922015567,1.0,1.0,1.0,16,MMP,BRCA,3
0.9241550577190988,1.0,1.0,1.0,17,MMP,BRCA,3
0.9377705062363979,0.9375000000000001,0.6323454417389031,0.9909531417446664,16,MMP,BRCA,3
0.9433705604053283,0.7954545454545456,0.3931525870290891,0.9454487484121739,17,MMP,BRCA,3
0.9464371766858759,1.0,1.0,1.0,16,MMP,BRCA,3
0.948889868573671,0.9375000000000001,0.6323454417389031,0.9909531417446664,17,MMP,BRCA,3
